"filename", "language", "Dart", "comment", "blank", "total"
"c:\Projects\pos\lib\core\env\app_env.dart", "Dart", 33, 0, 4, 37
"c:\Projects\pos\lib\core\errors\app_error_mapper.dart", "Dart", 111, 0, 14, 125
"c:\Projects\pos\lib\core\errors\supabase_error_mapper.dart", "Dart", 66, 13, 14, 93
"c:\Projects\pos\lib\core\navigation\sidebar_nav_cubit.dart", "Dart", 12, 1, 4, 17
"c:\Projects\pos\lib\core\permissions\app_feature.dart", "Dart", 84, 33, 18, 135
"c:\Projects\pos\lib\core\permissions\app_permission.dart", "Dart", 239, 79, 52, 370
"c:\Projects\pos\lib\core\permissions\data\permission_remote_ds.dart", "Dart", 31, 15, 9, 55
"c:\Projects\pos\lib\core\permissions\data_scope.dart", "Dart", 132, 36, 21, 189
"c:\Projects\pos\lib\core\permissions\data_scoping_layer.dart", "Dart", 51, 37, 14, 102
"c:\Projects\pos\lib\core\permissions\default_permission_matrix.dart", "Dart", 180, 12, 6, 198
"c:\Projects\pos\lib\core\permissions\permission_keys.dart", "Dart", 111, 27, 13, 151
"c:\Projects\pos\lib\core\permissions\permission_service.dart", "Dart", 220, 114, 54, 388
"c:\Projects\pos\lib\core\permissions\profile_field.dart", "Dart", 29, 12, 8, 49
"c:\Projects\pos\lib\core\permissions\role_permission_matrix.dart", "Dart", 180, 63, 43, 286
"c:\Projects\pos\lib\core\routes\app_routes.dart", "Dart", 31, 8, 9, 48
"c:\Projects\pos\lib\core\security\secure_storage_service.dart", "Dart", 62, 0, 10, 72
"c:\Projects\pos\lib\core\seeding\default_business_templates.dart", "Dart", 128, 13, 16, 157
"c:\Projects\pos\lib\core\seeding\default_categories.dart", "Dart", 23, 6, 3, 32
"c:\Projects\pos\lib\core\services\cart_service.dart", "Dart", 75, 8, 13, 96
"c:\Projects\pos\lib\core\services\image_service.dart", "Dart", 50, 3, 10, 63
"c:\Projects\pos\lib\core\sync\connectivity_service.dart", "Dart", 22, 3, 6, 31
"c:\Projects\pos\lib\core\sync\sync_service.dart", "Dart", 1146, 60, 99, 1305
"c:\Projects\pos\lib\core\sync\sync_status.dart", "Dart", 58, 10, 9, 77
"c:\Projects\pos\lib\core\theme\theme_controller.dart", "Dart", 30, 0, 9, 39
"c:\Projects\pos\lib\core\ui\status\status_banner.dart", "Dart", 169, 1, 11, 181
"c:\Projects\pos\lib\core\ui\status\status_page.dart", "Dart", 125, 0, 8, 133
"c:\Projects\pos\lib\core\ui\status\status_snack.dart", "Dart", 231, 8, 27, 266
"c:\Projects\pos\lib\core\ui\status\status_type.dart", "Dart", 1, 0, 1, 2
"c:\Projects\pos\lib\core\ui\widgets\account_page.dart", "Dart", 0, 0, 2, 2
"c:\Projects\pos\lib\core\ui\widgets\app_bottom_nav.dart", "Dart", 172, 5, 14, 191
"c:\Projects\pos\lib\core\ui\widgets\app_sidebar.dart", "Dart", 153, 0, 10, 163
"c:\Projects\pos\lib\core\ui\widgets\custom_app_bar.dart", "Dart", 778, 11, 39, 828
"c:\Projects\pos\lib\core\ui\widgets\permission_gate.dart", "Dart", 113, 87, 30, 230
"c:\Projects\pos\lib\core\ui\widgets\user_profile_section.dart", "Dart", 60, 0, 5, 65
"c:\Projects\pos\lib\core\utils\formatters.dart", "Dart", 32, 23, 7, 62
"c:\Projects\pos\lib\core\widgets\app_data_table.dart", "Dart", 250, 21, 31, 302
"c:\Projects\pos\lib\core\widgets\app_date_range_picker.dart", "Dart", 364, 3, 28, 395
"c:\Projects\pos\lib\core\widgets\app_dropdown.dart", "Dart", 437, 25, 37, 499
"c:\Projects\pos\lib\core\widgets\app_field_label.dart", "Dart", 21, 1, 4, 26
